Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,473.200012,475.700012,466.700012,469.200012,364.602325,3384223
2015-01-05,467.299988,469.899994,460.100006,462.000000,359.007294,8215638
2015-01-06,461.500000,463.059998,454.875000,456.700012,354.888885,8190051
2015-01-07,460.299988,466.000000,457.100006,462.700012,359.551300,6843760
2015-01-08,466.600006,473.799988,466.200012,468.899994,364.369141,9660318
2015-01-09,469.100006,473.654999,463.799988,467.700012,363.436676,6547901
2015-01-12,468.700012,473.700012,467.500000,470.200012,365.379333,4700987
2015-01-13,469.700012,477.000000,468.200012,475.100006,369.186951,5588834
2015-01-14,470.399994,475.799988,465.500000,468.600006,364.136047,9174544
2015-01-15,471.799988,479.600006,465.000000,479.600006,372.683777,8409442
2015-01-16,475.700012,484.399994,472.200012,483.799988,375.947510,7657195
2015-01-19,484.100006,490.700012,484.100006,488.700012,379.755157,5275788
2015-01-20,491.700012,493.588013,489.600006,492.100006,382.397217,6573407
2015-01-21,499.000000,504.000000,482.299011,502.000000,390.090210,12498052
2015-01-22,501.500000,520.500000,499.299988,518.000000,402.523376,10853049
2015-01-23,517.000000,520.500000,514.000000,519.000000,403.300476,9350822
2015-01-26,515.500000,517.525024,509.500000,512.000000,397.860901,8992981
2015-01-27,510.500000,512.419983,504.000000,506.000000,393.198486,10717078
2015-01-28,509.000000,513.500000,504.500000,513.000000,398.638000,6590292
2015-01-29,512.000000,517.500000,509.500000,516.000000,400.969208,8935723
2015-01-30,522.000000,522.000000,507.000000,507.500000,394.364075,14709666
2015-02-02,510.500000,515.500000,504.000000,507.000000,393.975555,9653332
2015-02-03,511.000000,523.000000,510.000000,520.500000,404.466064,9681686
2015-02-04,519.500000,528.000000,519.000000,527.500000,409.905548,6564225
2015-02-05,525.000000,527.000000,513.500000,516.500000,401.357758,8713536
2015-02-06,516.000000,519.000000,511.500000,517.500000,402.134857,13622689
2015-02-09,517.000000,517.841003,510.000000,514.500000,399.803650,4557756
2015-02-10,515.000000,523.500000,514.000000,522.500000,406.020172,7870150
2015-02-11,521.000000,525.000000,517.500000,525.000000,407.962830,6438867
2015-02-12,523.000000,534.380005,522.992981,528.000000,410.294037,10818127
2015-02-13,529.500000,530.349976,516.500000,523.000000,406.408691,6022661
2015-02-16,523.000000,524.541016,518.000000,521.000000,404.854645,4574748
2015-02-17,518.500000,522.000000,514.000000,520.500000,404.466064,4446976
2015-02-18,528.000000,528.000000,517.500000,522.000000,405.631622,7203876
2015-02-19,518.000000,528.000000,498.790009,525.500000,408.351349,9216294
2015-02-20,526.000000,532.000000,522.000000,530.000000,411.848206,6857203
2015-02-23,533.000000,535.000000,530.500000,534.000000,414.956543,6518450
2015-02-24,540.500000,540.775024,534.500000,536.000000,416.510681,7128877
2015-02-25,536.500000,542.000000,535.500000,537.500000,417.676270,9559467
2015-02-26,539.500000,542.500000,532.000000,533.000000,414.179474,6034292
2015-02-27,535.000000,536.549988,530.500000,532.000000,413.402435,7034548
2015-03-02,529.000000,534.500000,528.000000,531.000000,412.625305,5166352
2015-03-03,532.500000,533.500000,525.000000,527.000000,409.517029,5074005
2015-03-04,530.000000,533.609009,524.820007,533.500000,414.567993,4428962
2015-03-05,535.500000,536.500000,531.500000,535.000000,415.733582,4877238
2015-03-06,534.500000,539.500000,533.000000,537.000000,417.287750,4841468
2015-03-09,535.000000,537.775024,527.500000,533.000000,414.179474,6142189
2015-03-10,533.000000,539.500000,531.000000,533.500000,414.567993,8312950
2015-03-11,536.000000,539.000000,533.000000,536.000000,416.510681,7050310
2015-03-12,539.500000,544.000000,534.000000,535.000000,415.733582,6397667
2015-03-13,535.000000,539.000000,531.000000,532.500000,413.790955,6325794
2015-03-16,534.500000,539.000000,533.000000,538.000000,418.064758,4351423
2015-03-17,539.000000,540.000000,533.650024,537.000000,417.287750,5142441
2015-03-18,540.000000,547.000000,538.000000,545.500000,423.892792,6385967
2015-03-19,545.000000,548.500000,542.500000,547.000000,425.058441,6737587
2015-03-20,548.500000,549.000000,542.500000,545.500000,423.892792,14977839
2015-03-23,547.500000,548.500000,536.000000,540.000000,419.618988,9413065
2015-03-24,538.500000,548.375000,538.500000,542.500000,421.561646,7439338
2015-03-25,542.500000,546.500000,540.500000,541.500000,420.784546,4408773
2015-03-26,539.500000,542.500000,530.500000,532.500000,413.790955,11079654
2015-03-27,533.000000,535.500000,528.500000,530.000000,411.848206,6301298
2015-03-30,535.000000,537.789978,525.000000,526.500000,409.128448,11004908
2015-03-31,527.500000,532.500000,519.000000,523.500000,406.797272,9983523
2015-04-01,519.500000,528.000000,517.000000,524.000000,407.185791,6395707
2015-04-02,524.000000,527.000000,521.500000,524.500000,407.574341,5645016
2015-04-07,527.000000,530.375000,524.900024,528.500000,410.682556,7213422
2015-04-08,527.000000,533.500000,526.000000,532.000000,413.402435,7056595
2015-04-09,535.500000,537.000000,533.500000,535.500000,416.122162,4481439
2015-04-10,538.500000,541.500000,533.500000,539.500000,419.230469,7098565
2015-04-13,540.000000,541.000000,528.000000,536.500000,416.899231,1850994
2015-04-14,535.000000,537.500000,527.835022,529.000000,411.071136,8216237
2015-04-15,528.000000,536.789978,526.500000,532.500000,413.790955,10120725
2015-04-16,518.000000,524.799988,509.500000,516.000000,410.450073,8501469
2015-04-17,514.000000,531.799988,511.000000,513.000000,408.063690,7879493
2015-04-20,515.500000,516.500000,507.670990,509.500000,405.279602,6711184
2015-04-21,510.500000,515.000000,509.320007,510.000000,405.677338,6261201
2015-04-22,512.000000,513.500000,501.500000,507.000000,403.291016,11895511
2015-04-23,508.000000,509.341003,500.500000,503.500000,400.506958,12129710
2015-04-24,514.500000,525.642029,511.500000,515.000000,409.654633,16325395
2015-04-27,516.000000,527.969971,509.829987,514.000000,408.859131,6250935
2015-04-28,515.000000,515.099976,504.000000,505.500000,402.097839,6619579
2015-04-29,505.500000,512.179993,505.000000,507.500000,403.688751,8687554
2015-04-30,508.500000,513.500000,502.500000,508.000000,404.086456,8491733
2015-05-01,506.500000,510.779999,499.105011,503.500000,400.506958,4030964
2015-05-05,508.000000,513.164978,503.000000,503.000000,400.109222,3695995
2015-05-06,500.500000,503.500000,498.730988,500.500000,398.120636,6597360
2015-05-07,497.700012,501.000000,489.399994,497.600006,395.813812,7123325
2015-05-08,519.000000,519.000000,508.500000,509.500000,405.279602,11274322
2015-05-11,508.000000,514.169983,507.500000,510.000000,405.677338,6966515
2015-05-12,507.000000,507.760010,495.299988,498.000000,396.132019,10818567
2015-05-13,499.100006,505.500000,498.299988,500.000000,397.722931,6409661
2015-05-14,500.500000,503.000000,499.600006,502.000000,399.313843,7459434
2015-05-15,504.500000,508.000000,501.184998,503.500000,400.506958,4977990
2015-05-18,502.500000,505.500000,498.500000,502.000000,399.313843,6259248
2015-05-19,502.500000,510.500000,501.500000,509.000000,404.881927,7609710
2015-05-20,510.500000,511.661011,506.000000,509.000000,404.881927,4915884
2015-05-21,509.500000,514.500000,507.500000,513.000000,408.063690,4851328
2015-05-22,511.500000,517.500000,511.500000,515.500000,410.052338,10270727
2015-05-26,515.000000,519.000000,512.000000,514.500000,409.256927,4685516
2015-05-27,515.000000,524.500000,515.000000,523.000000,416.018158,9683030
2015-05-28,521.500000,524.000000,519.500000,521.500000,414.825012,5402154
2015-05-29,522.500000,523.000000,513.000000,515.000000,409.654633,8652963
2015-06-01,517.000000,520.000000,514.000000,516.500000,410.847748,6515514
2015-06-02,517.500000,518.500000,509.950012,511.000000,406.472778,5831822
2015-06-03,510.500000,516.000000,508.000000,513.000000,408.063690,5409752
2015-06-04,511.500000,511.500000,504.000000,505.500000,402.097839,5977464
2015-06-05,503.000000,503.500000,498.000000,498.299988,396.370605,6379149
2015-06-08,496.600006,499.299988,493.799988,493.799988,392.791168,5916715
2015-06-09,493.500000,494.600006,487.899994,489.100006,389.052551,7084298
2015-06-10,489.000000,493.899994,485.899994,492.600006,391.836609,5761265
2015-06-11,490.399994,494.799988,488.500000,490.700012,390.325256,6340732
2015-06-12,489.100006,491.799988,487.007996,489.100006,389.052551,5596025
2015-06-15,486.399994,488.500000,482.000000,482.000000,383.404877,6069727
2015-06-16,480.200012,482.000000,475.799988,481.200012,382.768494,5558904
2015-06-17,482.399994,482.600006,473.200012,473.200012,376.404938,7128347
2015-06-18,473.500000,473.700012,466.100006,472.399994,375.768585,9494343
2015-06-19,473.899994,476.899994,472.500000,474.399994,377.359467,8319104
2015-06-22,480.399994,480.399994,474.799988,479.000000,381.018524,7498458
2015-06-23,481.799988,482.899994,474.299988,474.299988,377.279907,7487219
2015-06-24,474.299988,481.299988,469.299988,480.399994,382.132141,12736681
2015-06-25,481.000000,482.700012,473.700012,475.399994,378.154907,10196603
2015-06-26,472.700012,474.100006,467.899994,468.200012,372.427765,8703533
2015-06-29,457.600006,467.160004,457.600006,462.700012,368.052795,7921508
2015-06-30,460.299988,461.070007,451.200012,451.200012,358.905151,11759151
2015-07-01,453.700012,460.399994,453.000000,457.200012,363.677856,6410560
2015-07-02,456.000000,457.279999,450.334015,453.299988,360.575592,5290627
2015-07-03,460.000000,463.000000,452.000000,452.299988,359.780151,5344884
2015-07-06,449.000000,456.200012,448.100006,454.299988,361.371002,7774000
2015-07-07,453.899994,455.700012,445.500000,445.500000,354.371094,8204428
2015-07-08,447.399994,461.500000,442.356995,460.899994,366.621002,10769102
2015-07-09,461.100006,468.500000,460.000000,467.200012,371.632263,9619258
2015-07-10,477.000000,477.000000,469.600006,473.899994,376.961731,8568832
2015-07-13,483.899994,485.299988,476.000000,484.299988,385.234344,10700696
2015-07-14,483.399994,485.100006,481.329987,483.000000,384.200348,6372859
2015-07-15,482.500000,488.399994,481.500000,485.200012,385.950348,6226101
2015-07-16,486.000000,488.700012,483.799988,485.399994,386.109406,6833569
2015-07-17,486.600006,486.940002,481.299988,482.399994,383.723022,5379750
2015-07-20,484.799988,486.220001,481.059998,481.600006,383.086670,4734263
2015-07-21,483.000000,483.519989,472.700012,473.399994,376.564056,7269577
2015-07-22,470.100006,473.600006,468.750000,469.799988,373.700439,9017552
2015-07-23,472.700012,473.899994,464.399994,464.899994,369.802765,8708571
2015-07-24,462.799988,468.899994,461.200012,461.899994,367.416443,4893064
2015-07-27,460.000000,462.299988,457.700012,458.700012,364.871002,7166300
2015-07-28,460.700012,463.500000,457.399994,460.700012,366.461884,8135591
2015-07-29,460.799988,469.600006,460.700012,469.600006,373.541382,9090316
2015-07-30,474.000000,479.899994,470.100006,473.100006,376.325409,9652178
2015-07-31,475.200012,481.500000,473.200012,480.200012,381.973083,8417188
2015-08-03,478.399994,481.600006,473.899994,476.100006,378.711731,9206493
2015-08-04,477.100006,477.700012,472.200012,474.000000,377.041321,13354512
2015-08-05,474.600006,477.600006,470.200012,473.500000,376.643585,10716696
2015-08-06,472.500000,473.700012,469.100006,471.500000,375.052734,6778990
2015-08-07,472.100006,473.200012,468.899994,471.500000,375.052734,5352833
2015-08-10,474.799988,475.600006,466.600006,473.100006,376.325409,5493049
2015-08-11,473.399994,474.200012,466.600006,467.500000,371.870941,4892360
2015-08-12,465.100006,468.950989,457.399994,460.000000,365.905060,16512934
2015-08-13,464.799988,468.700012,463.200012,467.200012,371.632263,5954421
2015-08-14,467.600006,473.000000,465.500000,468.299988,372.507263,7056844
2015-08-17,470.799988,473.100006,467.100006,468.799988,372.904999,4814940
